epoch,train_loss,val_loss,train_acc,val_acc,macro_f1,weighted_f1,kappa,auc,sensitivity,specificity
1,0.3901,0.1375,0.8821,0.9767,0.976654,0.976654,0.953333,0.991033,0.953333,1.0
2,0.2168,0.1284,0.9663,0.9833,0.983329,0.983329,0.966667,0.997067,0.966667,1.0
3,0.1931,0.1364,0.9767,0.9933,0.993333,0.993333,0.986667,0.9991,0.993333,1.0
4,0.1819,0.11,0.9821,0.9933,0.993333,0.993333,0.986667,0.999556,0.993333,1.0
5,0.1649,0.1314,0.9892,0.9833,0.986667,0.986667,0.986667,0.998367,0.986667,1.0
6,0.1719,0.1056,0.9858,0.9933,0.993333,0.993333,0.986667,0.997756,0.993333,0.999999
7,0.1664,0.1039,0.9883,0.9933,0.993333,0.993333,0.993333,0.995744,0.993333,0.999999
8,0.1583,0.1065,0.9896,0.9967,0.993333,0.993333,0.986667,0.996978,0.993333,1.0
9,0.1571,0.133,0.9917,0.9967,0.993333,0.993333,0.993333,0.994956,0.993333,0.999999
10,0.1561,0.1179,0.98,0.98,0.99,0.99,0.98,0.992189,0.96,0.973333
11,0.1775,0.1128,0.99,0.99,0.99,0.99,0.986667,0.995989,0.986667,0.993333
12,0.1128,0.1065,0.9933,0.9933,0.99,0.99,0.99,0.994956,0.986667,0.993333
13,0.1199,0.12,0.9888,0.99,0.99,0.99,0.99,0.998311,0.986667,0.993333
14,0.1537,0.1537,0.9933,0.9933,0.99,0.99,0.993333,0.999,0.993333,0.986667
