epoch,train_loss,val_loss,val_acc,macro_f1,weighted_f1,kappa,auc,sens_im_Dyskeratotic,spec_im_Dyskeratotic,sens_im_Koilocytotic,spec_im_Koilocytotic,sens_im_Metaplastic,spec_im_Metaplastic,sens_im_Parabasal,spec_im_Parabasal,sens_im_Superficial,spec_im_Superficial
1,0.6749617527,0.3103325613,0.8987654321,0.8980475184,0.8983702163,0.8735069169,0.9928696949,0.9753086419,0.9814814815,0.7108433734,0.9906832298,0.9746835442,0.9110429448,0.8354430379,0.9969325153,0.9999999999,0.9937888198
2,0.4695586776,0.2565505419,0.9259259259,0.9245602346,0.924405388,0.9074229286,0.9937872961,0.9876543209,0.9691358024,0.7590361445,0.9906832298,0.9493670885,0.9601226994,0.9367088606,0.9969325153,0.9999999999,0.9906832298
3,0.4435343921,0.2895813261,0.9086419753,0.9080802433,0.9084597164,0.8857484866,0.9921269537,0.9999999999,0.9907407407,0.9638554216,0.9378881987,0.7721518986,0.972392638,0.8987341771,0.9877300613,0.9036144577,0.9968944099
4,0.3988400478,0.2805979223,0.9308641975,0.9295853758,0.9295959362,0.9135631203,0.9884552499,0.9999999999,0.9783950617,0.8433734939,0.9875776397,0.8481012657,0.981595092,0.9620253163,0.990797546,0.9999999999,0.9751552795
5,0.3800393643,0.2624290373,0.9308641975,0.9299824031,0.9298513842,0.9135881492,0.9898367695,0.9629629628,0.9845679012,0.8192771083,0.9844720497,0.9113924049,0.9785276073,0.987341772,0.9785276073,0.9759036143,0.9875776397
6,0.3297002024,0.1819704393,0.9604938272,0.9606483675,0.9606818103,0.9506037322,0.9961737608,0.9629629628,0.9969135802,0.9518072288,0.9751552795,0.9367088606,0.9846625767,0.9493670885,1,0.9999999999,0.9937888198
7,0.3194114366,0.2436850891,0.9456790123,0.944834117,0.9447446936,0.9321091131,0.9907257384,0.9999999999,0.987654321,0.8192771083,0.9937888198,0.9493670885,0.9693251533,0.9746835442,0.990797546,0.9879518071,0.9906832298
8,0.3211417157,0.2103539109,0.9555555556,0.9548631718,0.9550177741,0.9444342815,0.9945659968,0.9999999999,0.987654321,0.9156626505,0.9937888198,0.8860759493,0.990797546,0.9746835442,0.9877300613,0.9999999999,0.9844720497
9,0.3021587169,0.2130217034,0.9580246914,0.9581933404,0.9581488616,0.9475108638,0.9954300541,0.9506172838,0.9969135802,0.9638554216,0.9720496894,0.9113924049,0.990797546,0.9620253163,1,0.9999999999,0.9875776397
10,0.2739663475,0.2005452342,0.9555555556,0.9550818201,0.9551232413,0.9444291987,0.9922195106,0.9876543209,0.9907407407,0.9277108433,0.9844720497,0.8860759493,0.9938650306,0.9746835442,0.990797546,0.9999999999,0.9844720497
11,0.2688879831,0.1821173361,0.9679012346,0.9674872104,0.9677793677,0.9598734853,0.9957486055,0.9999999999,0.9969135802,0.9518072288,0.9937888198,0.8987341771,0.9969325153,0.9999999999,0.9754601227,0.9879518071,0.9968944099
12,0.2460909284,0.1658030488,0.9679012346,0.9680669179,0.9678989735,0.9598692033,0.9965006705,0.9506172838,0.987654321,0.939759036,0.9844720497,0.9746835442,0.9938650306,0.9746835442,1,0.9999999999,0.9937888198
13,0.232963375,0.1498036889,0.9703703704,0.9703918762,0.9703795294,0.962955623,0.9968961324,0.9753086419,0.9969135802,0.9518072288,0.9906832298,0.9493670885,0.9877300613,0.9746835442,1,0.9999999999,0.9875776397
14,0.2332780863,0.1599449212,0.9728395062,0.9728425773,0.9726613627,0.9660473127,0.9973418866,0.9999999999,0.9814814815,0.9036144577,1,0.987341772,0.9938650306,0.9746835442,1,0.9999999999,0.9906832298
15,0.2036300545,0.1622053703,0.9654320988,0.965422061,0.9653245817,0.9567795835,0.9977600766,0.9999999999,0.987654321,0.9277108433,0.9937888198,0.9620253163,0.9938650306,0.9367088606,1,0.9999999999,0.9813664596
16,0.2110564999,0.1792780092,0.962962963,0.9629325449,0.962797859,0.9536959405,0.9970740635,0.9753086419,0.9907407407,0.9156626505,0.9906832298,0.9367088606,0.9877300613,0.987341772,1,0.9999999999,0.9844720497
17,0.2246420408,0.1597608881,0.9777777778,0.977576846,0.9776882452,0.9722158701,0.9944448092,0.9999999999,0.9969135802,0.9759036143,0.9968944099,0.9367088606,0.9938650306,0.9746835442,0.9969325153,0.9999999999,0.9875776397
18,0.2019673369,0.1597134044,0.9827160494,0.9827521733,0.9826677194,0.9783920977,0.9978865427,0.9999999999,0.9907407407,0.9518072288,0.9968944099,0.9746835442,0.9969325153,0.987341772,1,0.9999999999,0.9937888198
19,0.1769731482,0.168675445,0.9777777778,0.9777707691,0.977693192,0.9722167172,0.9950965014,0.9999999999,0.9907407407,0.9518072288,0.9937888198,0.9493670885,0.9969325153,0.987341772,1,0.9999999999,0.9906832298
20,0.2086563618,0.1816271578,0.962962963,0.9628906625,0.9628344051,0.9536888808,0.9956979655,0.9753086419,0.9907407407,0.9518072288,0.9844720497,0.9113924049,0.9969325153,0.9746835442,0.9969325153,0.9999999999,0.9844720497
21,0.2015568565,0.1721129552,0.9703703704,0.9704923653,0.9703901289,0.9629539287,0.995514613,0.9506172838,0.9938271605,0.9638554216,0.9844720497,0.9620253163,0.9938650306,0.9746835442,1,0.9999999999,0.9906832298
22,0.1821723079,0.1736557816,0.9679012346,0.9678788643,0.9677368656,0.9598722619,0.9948343607,0.9999999999,0.9845679012,0.9156626505,0.9937888198,0.9493670885,0.990797546,0.987341772,1,0.9879518071,0.9906832298
23,0.1838662176,0.1434580838,0.9777777778,0.9778462315,0.9777376609,0.9722162937,0.9966453109,0.9999999999,0.987654321,0.9518072288,0.9906832298,0.9493670885,1,0.987341772,1,0.9999999999,0.9937888198
24,0.1672238708,0.1564210834,0.9703703704,0.9706078641,0.9704839069,0.9629511046,0.9961291019,0.9753086419,0.9969135802,0.9879518071,0.9844720497,0.9493670885,0.9969325153,0.9620253163,1,0.9759036143,0.9844720497
25,0.1638389796,0.1311169229,0.9802469136,0.9802030994,0.9801527741,0.975304878,0.9981527601,0.9999999999,0.9938271605,0.9518072288,0.9937888198,0.9620253163,0.9969325153,0.987341772,0.9969325153,0.9999999999,0.9937888198
26,0.1668136741,0.184505904,0.9728395062,0.9726556555,0.9726303662,0.9660369591,0.9945155088,0.9999999999,0.9938271605,0.9759036143,0.9906832298,0.8987341771,1,0.987341772,1,0.9999999999,0.9813664596
